address,apn,building_type,stories_total,stories_above,stories_below,units,occupancy_type
1141 17TH ST,4276010053,Soft Story,3,3,0,5,
1135 17TH ST (1135-1137 17TH ST),4276010068,Soft Story,2,1,0,5,
1135 17TH ST (1135-1137 17TH ST),4276010069,Soft Story,2,1,0,5,
1135 17TH ST (1135-1137 17TH ST),4276010070,Soft Story,2,1,0,5,
1135 17TH ST (1135-1137 17TH ST),4276010071,Soft Story,2,1,0,5,
1135 17TH ST (1135-1137 17TH ST),4276010072,Soft Story,2,1,0,5,
1713 ARIZONA AVE (1707-1713 ARIZONA AVE),4276011010,Soft Story,2,2,0,8,
1247 17TH ST,4276011012,Soft Story,3,3,0,6,
1243 18TH ST,4276012014,Soft Story,2,2,0,3,
1231 18TH ST,4276012037,Soft Story,2,2,0,6,
1231 18TH ST,4276012038,Soft Story,2,2,0,6,
1231 18TH ST,4276012039,Soft Story,2,2,0,6,
1231 18TH ST,4276012040,Soft Story,2,2,0,6,
1231 18TH ST,4276012041,Soft Story,2,2,0,6,
1231 18TH ST,4276012042,Soft Story,2,2,0,6,
1234 19TH ST,4276012044,Soft Story,2,2,0,6,
1234 19TH ST,4276012045,Soft Story,2,2,0,6,
1234 19TH ST,4276012046,Soft Story,2,2,0,6,
1234 19TH ST,4276012047,Soft Story,2,2,0,6,
1234 19TH ST,4276012048,Soft Story,2,2,0,6,
1234 19TH ST,4276012049,Soft Story,2,2,0,6,
1253 18TH ST,4276012051,Soft Story,2,2,0,5,
1253 18TH ST,4276012052,Soft Story,2,2,0,5,
1253 18TH ST,4276012053,Soft Story,2,2,0,5,
1253 18TH ST,4276012054,Soft Story,2,2,0,5,
1253 18TH ST,4276012055,Soft Story,2,2,0,5,
1253 19TH ST,4276013011,Soft Story,2,2,0,4,
1902 WILSHIRE BLVD,4276013020,Unreinforced Masonry,1,,,,
1221 19TH ST,4276013026,Soft Story,2,2,0,6,
1908 WILSHIRE BLVD,4276013030,Unreinforced Masonry,1,,,,
1224 21ST ST,4276014005,Soft Story,2,2,0,4,
1244 21ST ST,4276014009,Soft Story,2,2,0,5,
1217 20TH ST,4276014029,Soft Story,2,2,0,12,
1217 20TH ST,4276014030,Soft Story,2,2,0,12,
1217 20TH ST,4276014031,Soft Story,2,2,0,12,
1217 20TH ST,4276014032,Soft Story,2,2,0,12,
1217 20TH ST,4276014033,Soft Story,2,2,0,12,
1217 20TH ST,4276014034,Soft Story,2,2,0,12,
1217 20TH ST,4276014035,Soft Story,2,2,0,12,
1217 20TH ST,4276014036,Soft Story,2,2,0,12,
1217 20TH ST,4276014037,Soft Story,2,2,0,12,
1217 20TH ST,4276014038,Soft Story,2,2,0,12,
1217 20TH ST,4276014039,Soft Story,2,2,0,12,
1217 20TH ST,4276014040,Soft Story,2,2,0,12,
1239 20TH ST (1239-1243 20TH ST),4276014041,Soft Story,2,2,0,23,
1241 21ST ST,4276015006,Soft Story,2,2,0,6,
1242 22ND ST,4276015013,Soft Story,2,2,0,4,
1228 22ND ST,4276015021,Soft Story,2,2,0,3,
1252 23RD ST,4276016013,Soft Story,2,2,0,4,
2219 ARIZONA AVE (2219 ARIZONA AVE/1260 23RD ST),4276016015,Soft Story,2,2,0,4,
1223 22ND ST,4276016026,Soft Story,2,2,0,2,
1248 23RD ST,4276016033,Soft Story,2,2,0,4,
1248 23RD ST,4276016034,Soft Story,2,2,0,4,
1248 23RD ST,4276016035,Soft Story,2,2,0,4,
1248 23RD ST,4276016036,Soft Story,2,2,0,4,
1237 22ND ST,4276016037,Soft Story,2,2,0,4,
1237 22ND ST,4276016038,Soft Story,2,2,0,4,
1237 22ND ST,4276016039,Soft Story,2,2,0,4,
1237 22ND ST,4276016040,Soft Story,2,2,0,4,
1220 24TH ST,4276017007,Soft Story,2,2,0,4,
1224 24TH ST,4276017008,Soft Story,2,2,0,3,
1228 24TH ST,4276017009,Soft Story,2,2,0,4,
1230 24TH ST,4276017010,Soft Story,2,2,0,4,
1249 23RD ST,4276017022,Soft Story,2,2,0,4,
1223 23RD ST,4276017029,Soft Story,2,2,0,4,
2406 WILSHIRE BLVD (2408 WILSHIRE BLVD),4276017043,Unreinforced Masonry,1,,,,
2414 WILSHIRE BLVD (2414-2416 WILSHIRE BLVD),4276017045,Soft Story,2,2,0,0,
1226 CHELSEA AVE,4276017050,Soft Story,2,2,0,4,
1227 24TH ST,4276017082,Soft Story,2,2,0,4,
1227 24TH ST,4276017083,Soft Story,2,2,0,4,
1227 24TH ST,4276017084,Soft Story,2,2,0,4,
1227 24TH ST,4276017085,Soft Story,2,2,0,4,
1231 24TH ST,4276017086,Soft Story,2,2,0,4,
1231 24TH ST,4276017087,Soft Story,2,2,0,4,
1231 24TH ST,4276017088,Soft Story,2,2,0,4,
1231 24TH ST,4276017089,Soft Story,2,2,0,4,
1235 24TH ST,4276017102,Soft Story,2,2,0,4,
1235 24TH ST,4276017103,Soft Story,2,2,0,4,
1235 24TH ST,4276017104,Soft Story,2,2,0,4,
1235 24TH ST,4276017105,Soft Story,2,2,0,4,
1250 25TH ST,4276019016,Soft Story,2,2,0,3,
1256 25TH ST (1254-1256 25TH ST),4276019017,Soft Story,2,2,0,3,
2441 ARIZONA AVE,4276019019,Soft Story,2,2,0,3,
1251 CHELSEA AVE,4276019020,Soft Story,2,2,0,4,
2444 WILSHIRE BLVD,4276019031,Steel Moment Frame,7,,,0,
1222 26TH ST,4276020007,Soft Story,2,2,0,4,
1234 26TH ST,4276020010,Soft Story,2,2,0,4,
1242 26TH ST,4276020012,Soft Story,2,2,0,8,
1252 26TH ST,4276020013,Soft Story,2,2,0,4,
1254 26TH ST,4276020014,Soft Story,2,2,0,2,
2519 ARIZONA AVE (2519 ARIZONA AVE/1260 26TH ST),4276020015,Soft Story,2,2,0,3,
1243 25TH ST,4276020021,Soft Story,2,2,0,4,
1225 25TH ST,4276020025,Soft Story,2,2,0,4,
1221 25TH ST,4276020026,Soft Story,2,0,0,3,
2440 CHELSEA PL,4276022012,Soft Story,2,2,0,4,
2439 CHELSEA PL,4276022018,Soft Story,2,2,0,4,
2445 CHELSEA PL,4276022019,Soft Story,2,2,0,1,
2447 CHELSEA PL,4276022020,Soft Story,2,2,0,4,
2448 ARIZONA AVE,4276022027,Soft Story,2,2,0,4,
2453 CHELSEA PL,4276022051,Soft Story,2,2,0,4,
1335 23RD ST,4276024012,Soft Story,2,2,0,3,
1323 23RD ST,4276024015,Soft Story,2,2,0,3,
1319 23RD ST,4276024016,Soft Story,2,2,0,2,
1303 23RD ST (1303 23RD ST/2304-2308 ARIZONA AVE),4276024023,Soft Story,2,2,0,4,
2304 ARIZONA AVE (1303 23RD ST/2304-2308 ARIZONA AVE),4276024024,Soft Story,2,2,0,4,
2306 ARIZONA AVE (1303 23RD ST/2304-2308 ARIZONA AVE),4276024025,Soft Story,2,2,0,4,
2308 ARIZONA AVE (1303 23RD ST/2304-2308 ARIZONA AVE),4276024026,Soft Story,2,2,0,4,
2301 SANTA MONICA BLVD,4276024035,Unreinforced Masonry,1,,,,
2021 SANTA MONICA BLVD,4276026017,Steel Moment Frame,7,,,0,
2001 SANTA MONICA BLVD,4276027015,Steel Moment Frame,12,,,0,
1301 20TH ST,4276027017,Steel Moment Frame,6,,,0,
1339 20TH ST,4276027018,Non-Ductile Concrete,2,,,0,Clinic
1916 ARIZONA AVE,4276028001,Soft Story,2,2,0,9,
1905 SANTA MONICA BLVD (1909 SANTA MONICA BLVD),4276028013,Unreinforced Masonry,1,,,,
1343 19TH ST,4276028016,Soft Story,2,2,0,6,
1329 19TH ST,4276028019,Soft Story,2,2,0,4,
1307 19TH ST,4276028023,Soft Story,2,2,0,7,
1902 ARIZONA AVE,4276028024,Soft Story,2,2,0,8,
1919 SANTA MONICA BLVD,4276028035,Steel Moment Frame,4,,,0,
1312 19TH ST,4276029003,Soft Story,2,2,0,6,
1318 19TH ST,4276029004,Soft Story,2,2,0,6,
1324 19TH ST,4276029005,Soft Story,2,2,0,6,
1328 19TH ST,4276029006,Soft Story,2,2,0,5,
1345 18TH ST,4276029015,Soft Story,2,2,0,7,
1323 18TH ST,4276029019,Soft Story,2,2,0,4,
1801 SANTA MONICA BLVD,4276029048,Unreinforced Masonry,1,,,,
1313 18TH ST,4276029050,Soft Story,2,2,0,6,
1313 18TH ST,4276029051,Soft Story,2,2,0,6,
1313 18TH ST,4276029052,Soft Story,2,2,0,6,
1313 18TH ST,4276029053,Soft Story,2,2,0,6,
1313 18TH ST,4276029054,Soft Story,2,2,0,6,
1313 18TH ST,4276029055,Soft Story,2,2,0,6,
1308 19TH ST,4276029900,Soft Story,2,0,0,0,
1310 18TH ST,4276030002,Soft Story,2,2,0,6,
1717 SANTA MONICA BLVD,4276030025,Steel Moment Frame,2,,,0,
2522 MONTANA AVE (2520 MONTANA AVE/2524 MONTANA AVE),4277001002,Soft Story,2,2,0,3,
2512 MONTANA AVE,4277001013,Soft Story,2,2,0,12,
805 23RD ST,4277002011,Soft Story,2,2,0,14,
840 23RD ST,4277003007,Soft Story,2,2,0,1,
2214 MONTANA AVE,4277003012,Soft Story,2,2,0,2,
839 21ST ST (837 21ST ST),4277004017,Soft Story,2,2,0,5,
847 21ST ST,4277004019,Soft Story,2,2,0,4,
843 21ST ST,4277004045,Soft Story,2,2,0,6,
843 21ST ST,4277004046,Soft Story,2,2,0,6,
843 21ST ST,4277004047,Soft Story,2,2,0,6,
843 21ST ST,4277004048,Soft Story,2,2,0,6,
843 21ST ST,4277004049,Soft Story,2,2,0,6,
843 21ST ST,4277004050,Soft Story,2,2,0,6,
2028 MONTANA AVE,4277005001,Unreinforced Masonry,1,,,,
812 21ST ST,4277005004,Soft Story,2,2,0,10,
822 21ST ST,4277005006,Soft Story,2,2,0,4,
832 21ST ST,4277005008,Soft Story,2,2,0,5,
840 21ST ST,4277005009,Soft Story,2,2,0,4,
844 21ST ST,4277005010,Soft Story,2,2,0,6,
2002 MONTANA AVE (2002-2010 MONTANA AVE),4277005015,Soft Story,2,2,0,6,
811 20TH ST,4277005017,Soft Story,3,3,0,7,
817 20TH ST,4277005018,Soft Story,3,3,0,7,
821 20TH ST,4277005019,Soft Story,2,2,0,4,
827 20TH ST,4277005020,Soft Story,2,2,0,4,
828 21ST ST,4277005031,Soft Story,2,2,0,7,
828 21ST ST,4277005032,Soft Story,2,2,0,7,
828 21ST ST,4277005033,Soft Story,2,2,0,7,
828 21ST ST,4277005034,Soft Story,2,2,0,7,
828 21ST ST,4277005035,Soft Story,2,2,0,7,
828 21ST ST,4277005036,Soft Story,2,2,0,7,
828 21ST ST,4277005037,Soft Story,2,2,0,7,
852 21ST ST,4277005038,Soft Story,2,2,0,6,
852 21ST ST,4277005039,Soft Story,2,2,0,6,
852 21ST ST,4277005040,Soft Story,2,2,0,6,
852 21ST ST,4277005041,Soft Story,2,2,0,6,
852 21ST ST,4277005042,Soft Story,2,2,0,6,
852 21ST ST,4277005043,Soft Story,2,2,0,6,
810 20TH ST,4277006002,Soft Story,3,3,0,10,
858 20TH ST,4277006011,Soft Story,2,2,0,4,
1902 MONTANA AVE (1902-1904 MONTANA AVE),4277006014,Soft Story,2,2,0,4,
823 19TH ST,4277006017,Soft Story,2,2,0,6,
833 19TH ST,4277006019,Soft Story,2,2,0,6,
843 19TH ST,4277006021,Soft Story,2,2,0,5,
847 19TH ST,4277006022,Soft Story,2,2,0,5,
1903 IDAHO AVE (1903-1913 IDAHO AVE),4277006024,Soft Story,2,2,0,6,
840 20TH ST,4277006026,Soft Story,3,3,0,19,
840 20TH ST,4277006027,Soft Story,3,3,0,19,
840 20TH ST,4277006028,Soft Story,3,3,0,19,
840 20TH ST,4277006029,Soft Story,3,3,0,19,
840 20TH ST,4277006030,Soft Story,3,3,0,19,
840 20TH ST,4277006031,Soft Story,3,3,0,19,
840 20TH ST,4277006032,Soft Story,3,3,0,19,
840 20TH ST,4277006033,Soft Story,3,3,0,19,
840 20TH ST,4277006034,Soft Story,3,3,0,19,
840 20TH ST,4277006035,Soft Story,3,3,0,19,
840 20TH ST,4277006036,Soft Story,3,3,0,19,
840 20TH ST,4277006037,Soft Story,3,3,0,19,
840 20TH ST,4277006038,Soft Story,3,3,0,19,
840 20TH ST,4277006039,Soft Story,3,3,0,19,
840 20TH ST,4277006040,Soft Story,3,3,0,19,
840 20TH ST,4277006041,Soft Story,3,3,0,19,
840 20TH ST,4277006042,Soft Story,3,3,0,19,
840 20TH ST,4277006043,Soft Story,3,3,0,19,
840 20TH ST,4277006044,Soft Story,3,3,0,19,
818 20TH ST,4277006046,Soft Story,2,2,0,6,
818 20TH ST,4277006047,Soft Story,2,2,0,6,
818 20TH ST,4277006048,Soft Story,2,2,0,6,
818 20TH ST,4277006049,Soft Story,2,2,0,6,
818 20TH ST,4277006050,Soft Story,2,2,0,6,
818 20TH ST,4277006052,Soft Story,2,2,0,6,
819 19TH ST,4277006053,Soft Story,2,2,0,6,
819 19TH ST,4277006054,Soft Story,2,2,0,6,
819 19TH ST,4277006055,Soft Story,2,2,0,6,
819 19TH ST,4277006056,Soft Story,2,2,0,6,
819 19TH ST,4277006057,Soft Story,2,2,0,6,
819 19TH ST,4277006058,Soft Story,2,2,0,6,
1920 MONTANA AVE,4277006067,Soft Story,2,2,0,7,
824 18TH ST,4277008005,Soft Story,2,2,0,6,
848 18TH ST,4277008010,Soft Story,2,2,0,7,
853 17TH ST,4277008024,Soft Story,2,2,0,3,
1724 MONTANA AVE,4277008029,Soft Story,3,3,0,17,
814 19TH ST,4277008055,Soft Story,2,2,0,7,
848 19TH ST,4277008060,Soft Story,3,3,0,6,
811 18TH ST (813 18TH ST),4277008062,Soft Story,2,2,0,4,
823 18TH ST,4277008064,Soft Story,2,2,0,5,
827 18TH ST,4277008065,Soft Story,2,2,0,6,
843 18TH ST,4277008068,Soft Story,2,2,0,7,
847 18TH ST,4277008069,Soft Story,2,2,0,6,
853 18TH ST,4277008070,Soft Story,3,3,0,7,
822 19TH ST (822-828 19TH ST),4277008072,Soft Story,3,2,0,10,
828 19TH ST (822-828 19TH ST),4277008073,Soft Story,3,3,0,10,
822 19TH ST (822-828 19TH ST),4277008074,Soft Story,3,2,0,10,
828 19TH ST (822-828 19TH ST),4277008075,Soft Story,3,3,0,10,
822 19TH ST (822-828 19TH ST),4277008076,Soft Story,3,2,0,10,
828 19TH ST (822-828 19TH ST),4277008077,Soft Story,3,3,0,10,
822 19TH ST (822-828 19TH ST),4277008078,Soft Story,3,2,0,10,
828 19TH ST (822-828 19TH ST),4277008079,Soft Story,3,3,0,10,
822 19TH ST (822-828 19TH ST),4277008080,Soft Story,3,2,0,10,
828 19TH ST (822-828 19TH ST),4277008081,Soft Story,3,3,0,10,
855 17TH ST (1709 IDAHO AVE),4277008143,Soft Story,2,2,0,7,
855 17TH ST (1709 IDAHO AVE),4277008144,Soft Story,2,2,0,7,
855 17TH ST (1709 IDAHO AVE),4277008145,Soft Story,2,2,0,7,
855 17TH ST (1709 IDAHO AVE),4277008146,Soft Story,2,2,0,7,
855 17TH ST (1709 IDAHO AVE),4277008147,Soft Story,2,2,0,7,
855 17TH ST (1709 IDAHO AVE),4277008148,Soft Story,2,2,0,7,
855 17TH ST (1709 IDAHO AVE),4277008149,Soft Story,2,2,0,7,
1720 IDAHO AVE (902 18TH ST),4277009001,Soft Story,2,2,0,1,
914 18TH ST,4277009003,Soft Story,2,2,0,4,
918 18TH ST (916-918 18TH ST),4277009004,Soft Story,2,2,0,6,
928 18TH ST,4277009006,Soft Story,2,2,0,5,
948 18TH ST,4277009010,Soft Story,2,2,0,5,
952 18TH ST,4277009011,Soft Story,3,3,0,6,
951 17TH ST,4277009024,Soft Story,2,2,0,7,
958 18TH ST,4277009031,Soft Story,3,3,0,7,
958 18TH ST,4277009032,Soft Story,3,3,0,7,
958 18TH ST,4277009033,Soft Story,3,3,0,7,
958 18TH ST,4277009034,Soft Story,3,3,0,7,
958 18TH ST,4277009035,Soft Story,3,3,0,7,
958 18TH ST,4277009036,Soft Story,3,3,0,7,
958 18TH ST,4277009037,Soft Story,3,3,0,7,
908 18TH ST,4277009079,Soft Story,2,2,0,6,
908 18TH ST,4277009080,Soft Story,2,2,0,6,
908 18TH ST,4277009081,Soft Story,2,2,0,6,
908 18TH ST,4277009082,Soft Story,2,2,0,6,
908 18TH ST,4277009083,Soft Story,2,2,0,6,
908 18TH ST,4277009084,Soft Story,2,2,0,6,
918 19TH ST,4277010005,Soft Story,2,2,0,4,
922 19TH ST,4277010006,Soft Story,2,2,0,6,
938 19TH ST,4277010009,Soft Story,2,2,0,7,
944 19TH ST,4277010010,Soft Story,2,2,0,6,
1810 IDAHO AVE (1810-1816 IDAHO AVE),4277010012,Soft Story,2,2,0,4,
923 18TH ST,4277010016,Soft Story,3,3,0,6,
941 18TH ST,4277010038,Soft Story,2,2,0,6,
927 18TH ST,4277010041,Soft Story,2,2,0,6,
953 18TH ST,4277010045,Soft Story,2,2,0,4,
1820 IDAHO AVE,4277010070,Soft Story,3,3,0,7,
1820 IDAHO AVE,4277010071,Soft Story,3,3,0,7,
1820 IDAHO AVE,4277010072,Soft Story,3,3,0,7,
1820 IDAHO AVE,4277010073,Soft Story,3,3,0,7,
1820 IDAHO AVE,4277010074,Soft Story,3,3,0,7,
1820 IDAHO AVE,4277010075,Soft Story,3,3,0,7,
1820 IDAHO AVE,4277010076,Soft Story,3,3,0,7,
907 18TH ST,4277010133,Soft Story,2,2,0,5,
914 20TH ST,4277011003,Soft Story,2,2,0,0,
920 20TH ST,4277011004,Soft Story,2,2,0,5,
942 20TH ST,4277011009,Soft Story,2,2,0,3,
901 19TH ST,4277011013,Soft Story,2,2,0,7,
913 19TH ST,4277011015,Soft Story,3,3,0,7,
929 19TH ST,4277011018,Soft Story,2,2,0,6,
943 19TH ST,4277011021,Soft Story,3,3,0,6,
947 19TH ST,4277011022,Soft Story,2,2,0,6,
953 19TH ST,4277011023,Soft Story,2,2,0,6,
1931 WASHINGTON AVE (954 20TH ST/1923-1931 WASHINGTON AVE),4277011039,Soft Story,3,3,0,10,
954 20TH ST (954 20TH ST/1923-1931 WASHINGTON AVE),4277011040,Soft Story,3,3,0,10,
1929 WASHINGTON AVE (954 20TH ST/1923-1931 WASHINGTON AVE),4277011041,Soft Story,3,3,0,10,
954 20TH ST (954 20TH ST/1923-1931 WASHINGTON AVE),4277011042,Soft Story,3,3,0,10,
1927 WASHINGTON AVE (954 20TH ST/1923-1931 WASHINGTON AVE),4277011043,Soft Story,3,3,0,10,
954 20TH ST (954 20TH ST/1923-1931 WASHINGTON AVE),4277011044,Soft Story,3,3,0,10,
1925 WASHINGTON AVE (954 20TH ST/1923-1931 WASHINGTON AVE),4277011045,Soft Story,3,3,0,10,
954 20TH ST (954 20TH ST/1923-1931 WASHINGTON AVE),4277011046,Soft Story,3,3,0,10,
1923 WASHINGTON AVE (954 20TH ST/1923-1931 WASHINGTON AVE),4277011047,Soft Story,3,3,0,10,
954 20TH ST (954 20TH ST/1923-1931 WASHINGTON AVE),4277011048,Soft Story,3,3,0,10,
937 19TH ST,4277011050,Soft Story,2,2,0,6,
937 19TH ST,4277011051,Soft Story,2,2,0,6,
937 19TH ST,4277011052,Soft Story,2,2,0,6,
937 19TH ST,4277011053,Soft Story,2,2,0,6,
937 19TH ST,4277011054,Soft Story,2,2,0,6,
937 19TH ST,4277011055,Soft Story,2,2,0,6,
924 20TH ST (924-928 20TH ST),4277011064,Soft Story,3,3,0,12,
924 20TH ST (924-928 20TH ST),4277011065,Soft Story,3,3,0,12,
924 20TH ST (924-928 20TH ST),4277011066,Soft Story,3,3,0,12,
924 20TH ST (924-928 20TH ST),4277011067,Soft Story,3,3,0,12,
924 20TH ST (924-928 20TH ST),4277011068,Soft Story,3,3,0,12,
924 20TH ST (924-928 20TH ST),4277011069,Soft Story,3,3,0,12,
928 20TH ST (924-928 20TH ST),4277011070,Soft Story,3,3,0,12,
928 20TH ST (924-928 20TH ST),4277011071,Soft Story,3,3,0,12,
928 20TH ST (924-928 20TH ST),4277011072,Soft Story,3,3,0,12,
928 20TH ST (924-928 20TH ST),4277011073,Soft Story,3,3,0,12,
928 20TH ST (924-928 20TH ST),4277011074,Soft Story,3,3,0,12,
928 20TH ST (924-928 20TH ST),4277011075,Soft Story,3,3,0,12,
909 19TH ST,4277011077,Soft Story,2,2,0,4,
909 19TH ST,4277011078,Soft Story,2,2,0,4,
909 19TH ST,4277011079,Soft Story,2,2,0,4,
909 19TH ST,4277011080,Soft Story,2,2,0,4,
948 20TH ST,4277011082,Soft Story,2,2,0,7,
948 20TH ST,4277011083,Soft Story,2,2,0,7,
948 20TH ST,4277011084,Soft Story,2,2,0,7,
948 20TH ST,4277011085,Soft Story,2,2,0,7,
948 20TH ST,4277011086,Soft Story,2,2,0,7,
948 20TH ST,4277011087,Soft Story,2,2,0,7,
948 20TH ST,4277011088,Soft Story,2,2,0,7,
924 21ST ST,4277012005,Soft Story,2,2,0,6,
928 21ST ST,4277012006,Soft Story,2,2,0,6,
948 21ST ST,4277012010,Soft Story,2,2,0,6,
954 21ST ST,4277012011,Soft Story,2,2,0,5,
907 20TH ST,4277012014,Soft Story,2,2,0,6,
947 20TH ST,4277012022,Soft Story,2,2,0,6,
921 21ST ST,4277013017,Soft Story,2,2,0,6,
933 21ST ST,4277013040,Soft Story,3,3,0,13,
933 21ST ST,4277013041,Soft Story,3,3,0,13,
933 21ST ST,4277013042,Soft Story,3,3,0,13,
933 21ST ST,4277013043,Soft Story,3,3,0,13,
933 21ST ST,4277013044,Soft Story,3,3,0,13,
933 21ST ST,4277013045,Soft Story,3,3,0,13,
933 21ST ST,4277013046,Soft Story,3,3,0,13,
933 21ST ST,4277013047,Soft Story,3,3,0,13,
933 21ST ST,4277013048,Soft Story,3,3,0,13,
933 21ST ST,4277013049,Soft Story,3,3,0,13,
933 21ST ST,4277013050,Soft Story,3,3,0,13,
933 21ST ST,4277013051,Soft Story,3,3,0,13,
933 21ST ST,4277013052,Soft Story,3,3,0,13,
927 21ST ST,4277013054,Soft Story,2,2,0,7,
927 21ST ST,4277013055,Soft Story,2,2,0,7,
927 21ST ST,4277013056,Soft Story,2,2,0,7,
927 21ST ST,4277013057,Soft Story,2,2,0,7,
927 21ST ST,4277013058,Soft Story,2,2,0,7,
927 21ST ST,4277013059,Soft Story,2,2,0,7,
927 21ST ST,4277013060,Soft Story,2,2,0,7,
2101 WASHINGTON AVE,4277013075,Soft Story,3,3,0,6,
921 25TH ST,4277017018,Soft Story,2,2,0,1,
959 25TH ST,4277017025,Soft Story,2,2,0,1,
2522 WASHINGTON AVE,4277018003,Soft Story,2,2,0,1,
1018 24TH ST,4277021013,Soft Story,2,2,0,1,
1023 21ST ST,4277023008,Soft Story,2,2,0,4,
1047 21ST ST,4277023019,Soft Story,2,2,0,4,
1049 21ST ST,4277023020,Soft Story,2,2,0,4,
2101 CALIFORNIA AVE,4277023021,Soft Story,3,3,0,9,
1045 20TH ST,4277024009,Soft Story,2,2,0,6,
1018 21ST ST,4277024017,Soft Story,2,2,0,5,
1020 21ST ST,4277024018,Soft Story,2,2,0,5,
1022 21ST ST,4277024019,Soft Story,2,2,0,5,
2020 WASHINGTON AVE,4277024020,Soft Story,3,3,0,6,
1010 21ST ST,4277024022,Soft Story,2,2,0,5,
2021 CALIFORNIA AVE,4277024026,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024027,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024028,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024029,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024030,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024031,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024032,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024033,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024034,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024035,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024036,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024037,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024038,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024039,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024040,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024041,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024042,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024043,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024044,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024045,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024046,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024047,Soft Story,3,3,0,23,
2021 CALIFORNIA AVE,4277024048,Soft Story,3,3,0,23,
2000 WASHINGTON AVE,4277024049,Soft Story,2,2,0,11,
2000 WASHINGTON AVE,4277024050,Soft Story,2,2,0,11,
2000 WASHINGTON AVE,4277024051,Soft Story,2,2,0,11,
2000 WASHINGTON AVE,4277024052,Soft Story,2,2,0,11,
2000 WASHINGTON AVE,4277024053,Soft Story,2,2,0,11,
2000 WASHINGTON AVE,4277024054,Soft Story,2,2,0,11,
2000 WASHINGTON AVE,4277024055,Soft Story,2,2,0,11,
2000 WASHINGTON AVE,4277024056,Soft Story,2,2,0,11,
2000 WASHINGTON AVE,4277024057,Soft Story,2,2,0,11,
2000 WASHINGTON AVE,4277024058,Soft Story,2,2,0,11,
2000 WASHINGTON AVE,4277024059,Soft Story,2,2,0,11,
1007 20TH ST,4277024061,Soft Story,2,2,0,10,
1007 20TH ST,4277024062,Soft Story,2,2,0,10,
1007 20TH ST,4277024063,Soft Story,2,2,0,10,
1007 20TH ST,4277024064,Soft Story,2,2,0,10,
1007 20TH ST,4277024065,Soft Story,2,2,0,10,
1007 20TH ST,4277024066,Soft Story,2,2,0,10,
1007 20TH ST,4277024067,Soft Story,2,2,0,10,
1007 20TH ST,4277024068,Soft Story,2,2,0,10,
1007 20TH ST,4277024069,Soft Story,2,2,0,10,
1007 20TH ST,4277024070,Soft Story,2,2,0,10,
1025 19TH ST,4277025003,Soft Story,2,2,0,5,
1029 19TH ST,4277025004,Soft Story,2,2,0,4,
1047 19TH ST,4277025009,Soft Story,2,2,0,8,
1903 CALIFORNIA AVE,4277025011,Soft Story,2,2,0,4,
1034 20TH ST,4277025016,Soft Story,2,2,0,7,
1030 20TH ST,4277025017,Soft Story,2,2,0,9,
1018 20TH ST (1018-1022 20TH ST),4277025022,Soft Story,2,2,0,13,
1060 20TH ST,4277025023,Soft Story,2,2,0,19,
1004 20TH ST (1002-1004 20TH ST/1922-1932 WASHINGTON AVE),4277025026,Soft Story,3,3,0,8,
1002 20TH ST (1002-1004 20TH ST/1922-1932 WASHINGTON AVE),4277025027,Soft Story,3,3,0,8,
1932 WASHINGTON AVE (1002-1004 20TH ST/1922-1932 WASHINGTON AVE),4277025028,Soft Story,3,3,0,8,
1930 WASHINGTON AVE (1002-1004 20TH ST/1922-1932 WASHINGTON AVE),4277025029,Soft Story,3,3,0,8,
1928 WASHINGTON AVE (1002-1004 20TH ST/1922-1932 WASHINGTON AVE),4277025030,Soft Story,3,3,0,8,
1926 WASHINGTON AVE (1002-1004 20TH ST/1922-1932 WASHINGTON AVE),4277025031,Soft Story,3,3,0,8,
1924 WASHINGTON AVE (1002-1004 20TH ST/1922-1932 WASHINGTON AVE),4277025032,Soft Story,3,3,0,8,
1922 WASHINGTON AVE (1002-1004 20TH ST/1922-1932 WASHINGTON AVE),4277025033,Soft Story,3,3,0,8,
1021 19TH ST,4277025058,Soft Story,2,2,0,6,
